Title,Description,Milestone,Labels,Assignee
"Setup: Initialize monorepo","Set up monorepo with pnpm workspaces or Turborepo for frontend and backend",Week 1-2: Foundation,setup,
"Setup: Create React frontend project","Initialize React 19 + TypeScript + Vite frontend project",Week 1-2: Foundation,setup,
"Setup: Create Hono backend project","Initialize Hono + TypeScript + Node.js backend project",Week 1-2: Foundation,setup,
"Setup: Install Docker Desktop","Install and configure Docker Desktop for local development",Week 1-2: Foundation,setup docker,
"Setup: Create docker-compose.yml","Create docker-compose.yml for PostgreSQL with pgvector extension",Week 1-2: Foundation,setup docker,
"Setup: Test database connection","Test database connection from backend to verify Docker setup",Week 1-2: Foundation,setup docker,
"Setup: Configure code quality tools","Set up ESLint Prettier and Husky for code quality",Week 1-2: Foundation,setup,
"Setup: Configure TypeScript","Configure TypeScript strict mode for both frontend and backend",Week 1-2: Foundation,setup,
"Setup: Design database schema","Design initial database schema (users notes refresh_tokens tables)",Week 1-2: Foundation,setup database,
"Setup: Initialize Git repository","Create Git repository and make initial commit",Week 1-2: Foundation,setup,
"Setup: Write README","Write basic README with setup instructions",Week 1-2: Foundation,setup documentation,
"Auth: Install dependencies","Install auth dependencies (bcrypt jsonwebtoken)",Week 3-4: Authentication,auth backend,
"Auth: Create registration endpoint","Create user registration endpoint (POST /auth/register)",Week 3-4: Authentication,auth backend,
"Auth: Implement password hashing","Implement password hashing with bcrypt (12 rounds)",Week 3-4: Authentication,auth backend security,
"Auth: Create login endpoint","Create login endpoint (POST /auth/login)",Week 3-4: Authentication,auth backend,
"Auth: Implement JWT generation","Implement JWT access + refresh token generation",Week 3-4: Authentication,auth backend security,
"Auth: Set up HTTP-only cookies","Set up HTTP-only Secure SameSite cookies",Week 3-4: Authentication,auth backend security,
"Auth: Create refresh_tokens table","Create refresh token database table with proper schema",Week 3-4: Authentication,auth backend database,
"Auth: Build refresh endpoint","Build token refresh endpoint (POST /auth/refresh)",Week 3-4: Authentication,auth backend,
"Auth: Implement token rotation","Implement token rotation on refresh",Week 3-4: Authentication,auth backend security,
"Auth: Create logout endpoint","Create logout endpoint with token revocation",Week 3-4: Authentication,auth backend,
"Auth: Build auth middleware","Build auth middleware for protected routes",Week 3-4: Authentication,auth backend,
"Auth: Create /auth/me endpoint","Create /auth/me endpoint for session validation",Week 3-4: Authentication,auth backend,
"Auth: Build login UI","Build login page UI in React",Week 3-4: Authentication,auth frontend,
"Auth: Build signup UI","Build signup page UI in React",Week 3-4: Authentication,auth frontend,
"Auth: Implement useAuth hook","Implement useAuth hook with TanStack Query",Week 3-4: Authentication,auth frontend,
"Auth: Set up protected routes","Set up protected routes with TanStack Router",Week 3-4: Authentication,auth frontend,
"Auth: Create axios instance","Create axios instance with credentials config",Week 3-4: Authentication,auth frontend,
"Auth: Build axios interceptor","Build axios interceptor for automatic token refresh",Week 3-4: Authentication,auth frontend,
"Auth: End-to-end testing","Test complete auth flow end-to-end",Week 3-4: Authentication,auth testing,
"Notes: Design database schema","Design notes database schema (id user_id title content timestamps)",Week 5-6: Core CRUD,notes backend database,
"Notes: Create Drizzle schema","Create Drizzle ORM schema definitions",Week 5-6: Core CRUD,notes backend database,
"Notes: Build GET /api/notes","Build endpoint to list all user's notes",Week 5-6: Core CRUD,notes backend,
"Notes: Build GET /api/notes/:id","Build endpoint to get single note",Week 5-6: Core CRUD,notes backend,
"Notes: Build POST /api/notes","Build endpoint to create note",Week 5-6: Core CRUD,notes backend,
"Notes: Build PUT /api/notes/:id","Build endpoint to update note",Week 5-6: Core CRUD,notes backend,
"Notes: Build DELETE /api/notes/:id","Build endpoint to delete note",Week 5-6: Core CRUD,notes backend,
"Notes: Add error handling","Add proper error handling and validation with Zod",Week 5-6: Core CRUD,notes backend,
"Notes: Integrate TipTap","Integrate TipTap rich text editor",Week 5-6: Core CRUD,notes frontend,
"Notes: Build sidebar component","Build notes list sidebar component",Week 5-6: Core CRUD,notes frontend,
"Notes: Build editor component","Create note editor component",Week 5-6: Core CRUD,notes frontend,
"Notes: Implement auto-save","Implement auto-save functionality (debounced)",Week 5-6: Core CRUD,notes frontend,
"Notes: Add save indicator","Add save indicator in UI",Week 5-6: Core CRUD,notes frontend,
"Notes: Build search functionality","Build search functionality (basic SQL LIKE query)",Week 5-6: Core CRUD,notes backend,
"Notes: Create tags system","Create tags system (separate tags table many-to-many)",Week 5-6: Core CRUD,notes backend database,
"Notes: Implement tag filtering","Implement tag filtering in sidebar",Week 5-6: Core CRUD,notes frontend,
"Notes: Set up TanStack Query","Set up TanStack Query for notes data fetching",Week 5-6: Core CRUD,notes frontend,
"Notes: Add optimistic updates","Add optimistic updates for better UX",Week 5-6: Core CRUD,notes frontend,
"Notes: Build responsive layout","Build responsive layout (sidebar + editor)",Week 5-6: Core CRUD,notes frontend,
"AI: Sign up for Anthropic API","Sign up for Anthropic API and get API key",Week 7-8: First AI Feature,ai setup,
"AI: Set up environment variables","Set up environment variables for API key",Week 7-8: First AI Feature,ai setup,
"AI: Create AI service module","Create AI service module in backend",Week 7-8: First AI Feature,ai backend,
"AI: Build summarization endpoint","Create POST /api/notes/:id/summarize endpoint",Week 7-8: First AI Feature,ai backend,
"AI: Write summarization prompt","Write effective prompt for summarization",Week 7-8: First AI Feature,ai backend,
"AI: Handle API rate limits","Handle API rate limits and errors",Week 7-8: First AI Feature,ai backend,
"AI: Build auto-tagging endpoint","Create POST /api/notes/:id/auto-tag endpoint",Week 7-8: First AI Feature,ai backend,
"AI: Write auto-tagging prompt","Write prompt to extract relevant tags",Week 7-8: First AI Feature,ai backend,
"AI: Parse AI response","Parse AI response and create tags",Week 7-8: First AI Feature,ai backend,
"AI: Build AI toolbar component","Build AI toolbar component in editor",Week 7-8: First AI Feature,ai frontend,
"AI: Add summarize button","Add 'Summarize' button with loading state",Week 7-8: First AI Feature,ai frontend,
"AI: Add auto-tag button","Add 'Auto-tag' button with loading state",Week 7-8: First AI Feature,ai frontend,
"AI: Display AI results","Display AI-generated results in UI",Week 7-8: First AI Feature,ai frontend,
"AI: Add error handling","Add error handling for API failures",Week 7-8: First AI Feature,ai backend,
"AI: Implement retry logic","Implement retry logic for failed requests",Week 7-8: First AI Feature,ai backend,
"AI: Add usage tracking","Add usage tracking (token counting)",Week 7-8: First AI Feature,ai backend,
"RAG: Enable pgvector extension","Enable pgvector extension in PostgreSQL",Week 9-10: RAG,ai backend database,
"RAG: Add embeddings column","Add embeddings column to notes table (vector type)",Week 9-10: RAG,ai backend database,
"RAG: Choose embedding model","Research and choose embedding model",Week 9-10: RAG,ai backend,
"RAG: Create embedding function","Create function to generate embeddings for note content",Week 9-10: RAG,ai backend,
"RAG: Generate embeddings for existing notes","Generate embeddings for all existing notes (migration)",Week 9-10: RAG,ai backend database,
"RAG: Auto-embed on create/update","Implement auto-embedding on note create/update",Week 9-10: RAG,ai backend,
"RAG: Build semantic search endpoint","Build semantic search endpoint (POST /api/search/semantic)",Week 9-10: RAG,ai backend,
"RAG: Implement vector similarity query","Implement vector similarity search query (using <=> operator)",Week 9-10: RAG,ai backend database,
"RAG: Build semantic search UI","Build semantic search UI in sidebar",Week 9-10: RAG,ai frontend,
"RAG: Create chat interface","Create chat interface component",Week 9-10: RAG,ai frontend,
"RAG: Implement RAG pipeline - Accept question","Accept user question in RAG pipeline",Week 9-10: RAG,ai backend,
"RAG: Implement RAG pipeline - Generate embedding","Generate embedding for question",Week 9-10: RAG,ai backend,
"RAG: Implement RAG pipeline - Retrieve notes","Retrieve top 5 most relevant notes",Week 9-10: RAG,ai backend,
"RAG: Implement RAG pipeline - Construct prompt","Construct prompt with context",Week 9-10: RAG,ai backend,
"RAG: Implement RAG pipeline - Call Claude","Send to Claude API and return answer",Week 9-10: RAG,ai backend,
"RAG: Create chat endpoint","Create POST /api/chat endpoint for RAG",Week 9-10: RAG,ai backend,
"RAG: Display chat history","Display chat history in UI",Week 9-10: RAG,ai frontend,
"RAG: Add Ask AI feature","Add 'Ask AI about my notes' feature",Week 9-10: RAG,ai frontend,
"RAG: Show source citations","Show which notes were used to answer question",Week 9-10: RAG,ai frontend,
"RAG: Add Find Related button","Add 'Find Related Notes' button in editor",Week 9-10: RAG,ai frontend,
"Deploy: Set up GitHub Actions","Set up GitHub Actions for CI (type checking ESLint)",Week 11-12: Production,deployment ci-cd,
"Deploy: Create Dockerfile","Create Dockerfile for backend",Week 11-12: Production,deployment docker,
"Deploy: Update docker-compose","Update docker-compose.yml for full stack",Week 11-12: Production,deployment docker,
"Deploy: Test Docker build","Test Docker build locally",Week 11-12: Production,deployment docker,
"Deploy: Choose platform","Choose deployment platform (Railway Render or Fly.io)",Week 11-12: Production,deployment,
"Deploy: Set up environment variables","Set up environment variables in deployment platform",Week 11-12: Production,deployment,
"Deploy: Deploy database","Deploy database (managed PostgreSQL)",Week 11-12: Production,deployment database,
"Deploy: Deploy backend","Deploy backend application",Week 11-12: Production,deployment,
"Deploy: Deploy frontend","Deploy frontend (Vercel or Netlify)",Week 11-12: Production,deployment,
"Deploy: Configure CORS","Configure CORS properly",Week 11-12: Production,deployment backend,
"Deploy: Set up SSL/HTTPS","Set up SSL/HTTPS",Week 11-12: Production,deployment,
"Deploy: Test production deployment","Test production deployment end-to-end",Week 11-12: Production,deployment testing,
"Polish: Add error logging","Add error logging (Sentry or similar)",Week 11-12: Production,polish monitoring,
"Polish: Implement monitoring","Implement basic monitoring",Week 11-12: Production,polish monitoring,
"Polish: Add loading skeletons","Add loading skeletons for better perceived performance",Week 11-12: Production,polish frontend,
"Polish: Polish empty states","Polish empty states and error messages",Week 11-12: Production,polish frontend,
"Polish: Add keyboard shortcuts","Add keyboard shortcuts for power users",Week 11-12: Production,polish frontend,
"Polish: Implement note export","Implement note export (markdown format)",Week 11-12: Production,polish feature,
"Polish: Add user settings page","Add user settings page (change password etc.)",Week 11-12: Production,polish feature,
"Docs: Write comprehensive README","Write comprehensive README with features tech stack setup",Week 11-12: Production,documentation,
"Docs: Add API documentation","Add API documentation",Week 11-12: Production,documentation,
"Docs: Create architecture diagrams","Create architecture diagrams",Week 11-12: Production,documentation,
"Docs: Create demo video","Create demo video or GIF for portfolio",Week 11-12: Production,documentation,
"Optional: Add Google OAuth","Add Google OAuth as second login option",Optional Extensions,auth optional,
